threshold,accuracy,weighted_f1,large_usage,avg_cost,cost_reduction
0.86,0.7981680861320907,0.799167097137505,0.007713321549092078,1.18511971717821,0.9525952113128716
0.865,0.7978466977342118,0.7988407006019107,0.005302908565000803,1.1272698055600192,0.9549092077775992
0.87,0.7975253093363329,0.7985235988497326,0.0035352723766672025,1.0848465370400129,0.9566061385183995
0.875,0.7973646151373935,0.7983597652687591,0.0028924955809095294,1.0694198939418287,0.9572232042423269
0.88,0.7972039209384542,0.7981958945616393,0.0024104129840912744,1.0578499116181905,0.9576860035352723
0.885,0.7967218383416359,0.7977409302003513,0.0017676361883336013,1.0424232685200063,0.9583030692591997
0.89,0.7967218383416359,0.7977409302003513,0.0016069419893941829,1.0385666077454605,0.9584573356901815
0.895,0.7965611441426964,0.797577074064232,0.0014462477904547647,1.0347099469709145,0.9586116021211635
0.9,0.7965611441426964,0.797577074064232,0.0012855535915153463,1.0308532861963682,0.9587658685521453
0.905,0.796400449943757,0.797414918219449,0.00048208259681825486,1.0115699823236382,0.9595372007070545
0.91,0.796400449943757,0.797414918219449,0.00048208259681825486,1.0115699823236382,0.9595372007070545
0.915,0.796400449943757,0.7974036430340303,0.0003213883978788366,1.007713321549092,0.9596914671380363
0.92,0.796400449943757,0.7974036430340303,0.0003213883978788366,1.007713321549092,0.9596914671380363
0.925,0.796400449943757,0.7974036430340303,0.0003213883978788366,1.007713321549092,0.9596914671380363
0.93,0.796400449943757,0.7974036430340303,0.0001606941989394183,1.003856660774546,0.9598457335690181
0.935,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.9400000000000001,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.9450000000000001,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.9500000000000001,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.9550000000000001,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.96,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.965,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.97,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.975,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.98,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.985,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.99,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
0.995,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
1.0,0.796400449943757,0.7974036430340303,0.0,1.0,0.96
